name,episode_title,location,sub_location,time
Robert Baratheon,Winter Is Coming,The North,Winterfell,337
Cersei Lannister,Winter Is Coming,The North,Winterfell,337
Jaime Lannister,Winter Is Coming,The North,Winterfell,337
Myrcella Baratheon,Winter Is Coming,The North,Winterfell,337
Tommen Baratheon,Winter Is Coming,The North,Winterfell,337
Robert Baratheon,Winter Is Coming,The North,Winterfell,91
Eddard Stark,Winter Is Coming,The North,Winterfell,91
Jaime Lannister,Winter Is Coming,The North,Winterfell,130
Tyrion Lannister,Winter Is Coming,The North,Winterfell,130
Ros,Winter Is Coming,The North,Winterfell,130
Robert Baratheon,Winter Is Coming,The North,Winterfell,48
Eddard Stark,Winter Is Coming,The North,Winterfell,48
Daenerys Targaryen,Winter Is Coming,Pentos,Pentos,152
Viserys Targaryen,Winter Is Coming,Pentos,Pentos,152
Daenerys Targaryen,Winter Is Coming,Pentos,Pentos,126
Viserys Targaryen,Winter Is Coming,Pentos,Pentos,126
Illyrio Mopatis,Winter Is Coming,Pentos,Pentos,126
Khal Drogo,Winter Is Coming,Pentos,Pentos,126
Qotho,Winter Is Coming,Pentos,Pentos,126
Viserys Targaryen,Winter Is Coming,Pentos,Pentos,102
Illyrio Mopatis,Winter Is Coming,Pentos,Pentos,102
Daenerys Targaryen,Winter Is Coming,Pentos,Pentos,102
Catelyn Stark,Winter Is Coming,The North,Winterfell,51
Sansa Stark,Winter Is Coming,The North,Winterfell,51
Robert Baratheon,Winter Is Coming,The North,Winterfell,23
Catelyn Stark,Winter Is Coming,The North,Winterfell,23
Cersei Lannister,Winter Is Coming,The North,Winterfell,23
Rodrik Cassel,Winter Is Coming,The North,Winterfell,23
Jon Snow,Winter Is Coming,The North,Winterfell,175
Benjen Stark,Winter Is Coming,The North,Winterfell,175
Tyrion Lannister,Winter Is Coming,The North,Winterfell,175
Rodrik Cassel,Winter Is Coming,The North,Winterfell,194
Benjen Stark,Winter Is Coming,The North,Winterfell,194
Eddard Stark,Winter Is Coming,The North,Winterfell,194
Robb Stark,Winter Is Coming,The North,Winterfell,194
Robert Baratheon,Winter Is Coming,The North,Winterfell,194
Catelyn Stark,Winter Is Coming,The North,Winterfell,194
Cersei Lannister,Winter Is Coming,The North,Winterfell,194
Sansa Stark,Winter Is Coming,The North,Winterfell,194
Joffrey Baratheon,Winter Is Coming,The North,Winterfell,194
Jaime Lannister,Winter Is Coming,The North,Winterfell,194
Arya Stark,Winter Is Coming,The North,Winterfell,194
Theon Greyjoy,Winter Is Coming,The North,Winterfell,194
Eddard Stark,Winter Is Coming,The North,Winterfell,181
Catelyn Stark,Winter Is Coming,The North,Winterfell,181
Maester Luwin,Winter Is Coming,The North,Winterfell,181
Khal Drogo,Winter Is Coming,Pentos,Pentos,336
Daenerys Targaryen,Winter Is Coming,Pentos,Pentos,336
Viserys Targaryen,Winter Is Coming,Pentos,Pentos,336
Illyrio Mopatis,Winter Is Coming,Pentos,Pentos,336
Qotho,Winter Is Coming,Pentos,Pentos,336
Jorah Mormont,Winter Is Coming,Pentos,Pentos,336
Drogon,Winter Is Coming,Pentos,Pentos,336
Rhaegal,Winter Is Coming,Pentos,Pentos,336
Viserion,Winter Is Coming,Pentos,Pentos,336
Khal Drogo,Winter Is Coming,Pentos,Pentos,103
Daenerys Targaryen,Winter Is Coming,Pentos,Pentos,103
Tyrion Lannister,Winter Is Coming,The North,Winterfell,78
Sandor Clegane,Winter Is Coming,The North,Winterfell,78
Theon Greyjoy,Winter Is Coming,The North,Winterfell,78
Eddard Stark,Winter Is Coming,The North,Winterfell,78
Benjen Stark,Winter Is Coming,The North,Winterfell,78
Robb Stark,Winter Is Coming,The North,Winterfell,78
Robert Baratheon,Winter Is Coming,The North,Winterfell,78
Bran Stark,Winter Is Coming,The North,Winterfell,78
Summer,Winter Is Coming,The North,Winterfell,78
Bran Stark,Winter Is Coming,The North,Winterfell,111
Summer,Winter Is Coming,The North,Winterfell,111
Jaime Lannister,Winter Is Coming,The North,Winterfell,111
Cersei Lannister,Winter Is Coming,The North,Winterfell,111
Jorah Mormont,The Kingsroad,The Dothraki Sea,The Dothraki Sea,186
Daenerys Targaryen,The Kingsroad,The Dothraki Sea,The Dothraki Sea,186
Khal Drogo,The Kingsroad,The Dothraki Sea,The Dothraki Sea,186
Viserys Targaryen,The Kingsroad,The Dothraki Sea,The Dothraki Sea,186
Doreah,The Kingsroad,The Dothraki Sea,The Dothraki Sea,186
Irri,The Kingsroad,The Dothraki Sea,The Dothraki Sea,186
Jhiqui,The Kingsroad,The Dothraki Sea,The Dothraki Sea,186
Tyrion Lannister,The Kingsroad,The North,Winterfell,97
Joffrey Baratheon,The Kingsroad,The North,Winterfell,97
Sandor Clegane,The Kingsroad,The North,Winterfell,97
Tyrion Lannister,The Kingsroad,The North,Winterfell,133
Jaime Lannister,The Kingsroad,The North,Winterfell,133
Cersei Lannister,The Kingsroad,The North,Winterfell,133
Tommen Baratheon,The Kingsroad,The North,Winterfell,133
Myrcella Baratheon,The Kingsroad,The North,Winterfell,133
Catelyn Stark,The Kingsroad,The North,Winterfell,146
Bran Stark,The Kingsroad,The North,Winterfell,146
Cersei Lannister,The Kingsroad,The North,Winterfell,146
Jon Snow,The Kingsroad,The North,Winterfell,102
Jaime Lannister,The Kingsroad,The North,Winterfell,102
Arya Stark,The Kingsroad,The North,Winterfell,137
Nymeria,The Kingsroad,The North,Winterfell,137
Jon Snow,The Kingsroad,The North,Winterfell,137
Catelyn Stark,The Kingsroad,The North,Winterfell,219
Jon Snow,The Kingsroad,The North,Winterfell,219
Bran Stark,The Kingsroad,The North,Winterfell,219
Eddard Stark,The Kingsroad,The North,Winterfell,219
Jon Snow,The Kingsroad,The North,Winterfell,45
Robb Stark,The Kingsroad,The North,Winterfell,45
Tyrion Lannister,The Kingsroad,The North,Winterfell,104
Benjen Stark,The Kingsroad,The North,Winterfell,104
Eddard Stark,The Kingsroad,The North,Winterfell,104
Jon Snow,The Kingsroad,The North,Winterfell,104
Robert Baratheon,The Kingsroad,The North,The Kingsroad South to King's Landing,199
Eddard Stark,The Kingsroad,The North,The Kingsroad South to King's Landing,199
Khal Drogo,The Kingsroad,The Dothraki Sea,Dothraki Camp,46
Daenerys Targaryen,The Kingsroad,The Dothraki Sea,Dothraki Camp,46
Drogon,The Kingsroad,The Dothraki Sea,Dothraki Camp,46
Rhaegal,The Kingsroad,The Dothraki Sea,Dothraki Camp,46
Viserion,The Kingsroad,The Dothraki Sea,Dothraki Camp,46
Jon Snow,The Kingsroad,The North,North to the Wall,200
Ghost,The Kingsroad,The North,North to the Wall,200
Benjen Stark,The Kingsroad,The North,North to the Wall,200
Tyrion Lannister,The Kingsroad,The North,North to the Wall,200
Rast,The Kingsroad,The North,North to the Wall,200
Catelyn Stark,The Kingsroad,The North,Winterfell,192
Bran Stark,The Kingsroad,The North,Winterfell,192
Maester Luwin,The Kingsroad,The North,Winterfell,192
Robb Stark,The Kingsroad,The North,Winterfell,192
Catspaw Assassin,The Kingsroad,The North,Winterfell,192
Summer,The Kingsroad,The North,Winterfell,192
Daenerys Targaryen,The Kingsroad,The Dothraki Sea,Dothraki Camp,113
Doreah,The Kingsroad,The Dothraki Sea,Dothraki Camp,113
Irri,The Kingsroad,The Dothraki Sea,Dothraki Camp,113
Jhiqui,The Kingsroad,The Dothraki Sea,Dothraki Camp,113
Drogon,The Kingsroad,The Dothraki Sea,Dothraki Camp,113
Rhaegal,The Kingsroad,The Dothraki Sea,Dothraki Camp,113
Viserion,The Kingsroad,The Dothraki Sea,Dothraki Camp,113
Benjen Stark,The Kingsroad,The Wall,The Gift,32
Jon Snow,The Kingsroad,The Wall,The Gift,32
Tyrion Lannister,The Kingsroad,The Wall,The Gift,32
Catelyn Stark,The Kingsroad,The North,Winterfell,79
Catelyn Stark,The Kingsroad,The North,Winterfell,109
Robb Stark,The Kingsroad,The North,Winterfell,109
Maester Luwin,The Kingsroad,The North,Winterfell,109
Rodrik Cassel,The Kingsroad,The North,Winterfell,109
Theon Greyjoy,The Kingsroad,The North,Winterfell,109
Catelyn Stark,The Kingsroad,The North,Winterfell,53
Bran Stark,The Kingsroad,The North,Winterfell,53
Daenerys Targaryen,The Kingsroad,The Dothraki Sea,Dothraki Camp,103
Doreah,The Kingsroad,The Dothraki Sea,Dothraki Camp,103
Drogon,The Kingsroad,The Dothraki Sea,Dothraki Camp,130
Rhaegal,The Kingsroad,The Dothraki Sea,Dothraki Camp,130
Viserion,The Kingsroad,The Dothraki Sea,Dothraki Camp,130
Khal Drogo,The Kingsroad,The Dothraki Sea,Dothraki Camp,130
Daenerys Targaryen,The Kingsroad,The Dothraki Sea,Dothraki Camp,130
Sansa Stark,The Kingsroad,The Riverlands,Crossroads Inn,111
Lady,The Kingsroad,The Riverlands,Crossroads Inn,111
Joffrey Baratheon,The Kingsroad,The Riverlands,Crossroads Inn,111
Sandor Clegane,The Kingsroad,The Riverlands,Crossroads Inn,111
Ilyn Payne,The Kingsroad,The Riverlands,Crossroads Inn,111
Arya Stark,The Kingsroad,The Riverlands,Crossroads Inn,163
Mycah,The Kingsroad,The Riverlands,Crossroads Inn,163
Joffrey Baratheon,The Kingsroad,The Riverlands,Crossroads Inn,163
Sansa Stark,The Kingsroad,The Riverlands,Crossroads Inn,163
Nymeria,The Kingsroad,The Riverlands,Crossroads Inn,163
Arya Stark,The Kingsroad,The Riverlands,Crossroads Inn,51
Nymeria,The Kingsroad,The Riverlands,Crossroads Inn,51
Eddard Stark,The Kingsroad,The Riverlands,Crossroads Inn,38
Jory Cassel,The Kingsroad,The Riverlands,Crossroads Inn,38
Eddard Stark,The Kingsroad,The Riverlands,Crossroads Inn,249
Arya Stark,The Kingsroad,The Riverlands,Crossroads Inn,249
Joffrey Baratheon,The Kingsroad,The Riverlands,Crossroads Inn,249
Cersei Lannister,The Kingsroad,The Riverlands,Crossroads Inn,249
Robert Baratheon,The Kingsroad,The Riverlands,Crossroads Inn,249
Ilyn Payne,The Kingsroad,The Riverlands,Crossroads Inn,249
Sansa Stark,The Kingsroad,The Riverlands,Crossroads Inn,249
Jory Cassel,The Kingsroad,The Riverlands,Crossroads Inn,249
Sandor Clegane,The Kingsroad,The Riverlands,Crossroads Inn,31
Mycah,The Kingsroad,The Riverlands,Crossroads Inn,31
Eddard Stark,The Kingsroad,The Riverlands,Crossroads Inn,31
Bran Stark,The Kingsroad,The North,Winterfell,11
Summer,The Kingsroad,The North,Winterfell,11
Lady,The Kingsroad,The Riverlands,Crossroads Inn,28
Eddard Stark,The Kingsroad,The Riverlands,Crossroads Inn,28
Bran Stark,The Kingsroad,The North,Winterfell,16
Summer,The Kingsroad,The North,Winterfell,16
Eddard Stark,The Kingsroad,The Riverlands,Crossroads Inn,10
Lady,The Kingsroad,The Riverlands,Crossroads Inn,10
Bran Stark,The Kingsroad,The North,Winterfell,9
Summer,The Kingsroad,The North,Winterfell,9
Eddard Stark,Lord Snow,The Crownlands,King's Landing,55
Sansa Stark,Lord Snow,The Crownlands,King's Landing,55
Arya Stark,Lord Snow,The Crownlands,King's Landing,55
Jory Cassel,Lord Snow,The Crownlands,King's Landing,55
Septa Mordane,Lord Snow,The Crownlands,King's Landing,55
Royal Steward,Lord Snow,The Crownlands,King's Landing,55
Eddard Stark,Lord Snow,The Crownlands,King's Landing,155
Jaime Lannister,Lord Snow,The Crownlands,King's Landing,155
Eddard Stark,Lord Snow,The Crownlands,King's Landing,174
Lord Varys,Lord Snow,The Crownlands,King's Landing,174
Grand Maester Pycelle,Lord Snow,The Crownlands,King's Landing,174
Renly Baratheon,Lord Snow,The Crownlands,King's Landing,174
Petyr Baelish,Lord Snow,The Crownlands,King's Landing,174
Joffrey Baratheon,Lord Snow,The Crownlands,King's Landing,159
Cersei Lannister,Lord Snow,The Crownlands,King's Landing,159
Arya Stark,Lord Snow,The Crownlands,King's Landing,81
Sansa Stark,Lord Snow,The Crownlands,King's Landing,81
Septa Mordane,Lord Snow,The Crownlands,King's Landing,81
Eddard Stark,Lord Snow,The Crownlands,King's Landing,81
Arya Stark,Lord Snow,The Crownlands,King's Landing,217
Eddard Stark,Lord Snow,The Crownlands,King's Landing,217
Bran Stark,Lord Snow,The North,Winterfell,182
Old Nan,Lord Snow,The North,Winterfell,182
Robb Stark,Lord Snow,The North,Winterfell,182
Rodrik Cassel,Lord Snow,The Crownlands,King's Landing,172
Catelyn Stark,Lord Snow,The Crownlands,King's Landing,172
Petyr Baelish,Lord Snow,The Crownlands,King's Landing,172
Lord Varys,Lord Snow,The Crownlands,King's Landing,172
Tyrion Lannister,Lord Snow,The Wall,Castle Black,96
Jeor Mormont,Lord Snow,The Wall,Castle Black,96
Alliser Thorne,Lord Snow,The Wall,Castle Black,96
Jon Snow,Lord Snow,The Wall,Castle Black,96
Pypar,Lord Snow,The Wall,Castle Black,96
Grenn,Lord Snow,The Wall,Castle Black,96
Rast,Lord Snow,The Wall,Castle Black,96
Eddard Stark,Lord Snow,The Crownlands,King's Landing,49
Grand Maester Pycelle,Lord Snow,The Crownlands,King's Landing,49
Petyr Baelish,Lord Snow,The Crownlands,King's Landing,49
Eddard Stark,Lord Snow,The Crownlands,King's Landing,35
Petyr Baelish,Lord Snow,The Crownlands,King's Landing,35
Catelyn Stark,Lord Snow,The Crownlands,King's Landing,35
Jon Snow,Lord Snow,The Wall,Castle Black,120
Rast,Lord Snow,The Wall,Castle Black,120
Grenn,Lord Snow,The Wall,Castle Black,120
Pypar,Lord Snow,The Wall,Castle Black,120
Tyrion Lannister,Lord Snow,The Wall,Castle Black,120
Petyr Baelish,Lord Snow,The Crownlands,King's Landing,37
Catelyn Stark,Lord Snow,The Crownlands,King's Landing,37
Eddard Stark,Lord Snow,The Crownlands,King's Landing,37
Cersei Lannister,Lord Snow,The Crownlands,King's Landing,69
Jaime Lannister,Lord Snow,The Crownlands,King's Landing,69
Eddard Stark,Lord Snow,The Crownlands,King's Landing,99
Catelyn Stark,Lord Snow,The Crownlands,King's Landing,99
Rodrik Cassel,Lord Snow,The Crownlands,King's Landing,99
Jory Cassel,Lord Snow,The Crownlands,King's Landing,99
Robert Baratheon,Lord Snow,The Crownlands,King's Landing,272
Barristan Selmy,Lord Snow,The Crownlands,King's Landing,272
Lancel Lannister,Lord Snow,The Crownlands,King's Landing,272
Jaime Lannister,Lord Snow,The Crownlands,King's Landing,272
Khal Drogo,Lord Snow,The Dothraki Sea,The Dothraki Sea,218
Daenerys Targaryen,Lord Snow,The Dothraki Sea,The Dothraki Sea,218
Jorah Mormont,Lord Snow,The Dothraki Sea,The Dothraki Sea,218
Viserys Targaryen,Lord Snow,The Dothraki Sea,The Dothraki Sea,218
Rakharo,Lord Snow,The Dothraki Sea,The Dothraki Sea,218
Irri,Lord Snow,The Dothraki Sea,The Dothraki Sea,218
Jon Snow,Lord Snow,The Wall,Castle Black,215
Benjen Stark,Lord Snow,The Wall,Castle Black,215
Tyrion Lannister,Lord Snow,The Wall,Castle Black,234
Yoren,Lord Snow,The Wall,Castle Black,234
Benjen Stark,Lord Snow,The Wall,Castle Black,234
Daenerys Targaryen,Lord Snow,The Dothraki Sea,Dothraki Camp,38
Irri,Lord Snow,The Dothraki Sea,Dothraki Camp,38
Jorah Mormont,Lord Snow,The Dothraki Sea,Dothraki Camp,134
Rakharo,Lord Snow,The Dothraki Sea,Dothraki Camp,134
Irri,Lord Snow,The Dothraki Sea,Dothraki Camp,134
Tyrion Lannister,Lord Snow,The Wall,Castle Black,123
Jon Snow,Lord Snow,The Wall,Castle Black,123
Pypar,Lord Snow,The Wall,Castle Black,123
Grenn,Lord Snow,The Wall,Castle Black,123
Rast,Lord Snow,The Wall,Castle Black,123
Maester Aemon,Lord Snow,The Wall,Castle Black,123
Jeor Mormont,Lord Snow,The Wall,Castle Black,123
Drogon,Lord Snow,The Dothraki Sea,Dothraki Camp,49
Rhaegal,Lord Snow,The Dothraki Sea,Dothraki Camp,49
Viserion,Lord Snow,The Dothraki Sea,Dothraki Camp,49
Daenerys Targaryen,Lord Snow,The Dothraki Sea,Dothraki Camp,49
Khal Drogo,Lord Snow,The Dothraki Sea,Dothraki Camp,49
Tyrion Lannister,Lord Snow,The Wall,Castle Black,62
Jon Snow,Lord Snow,The Wall,Castle Black,62
Arya Stark,Lord Snow,The Crownlands,King's Landing,212
Syrio Forel,Lord Snow,The Crownlands,King's Landing,212
Eddard Stark,Lord Snow,The Crownlands,King's Landing,212
Three-Eyed Raven,"Cripples, Bastards, and Broken Things",The North,Winterfell,49
Bran Stark,"Cripples, Bastards, and Broken Things",The North,Winterfell,49
Bran Stark,"Cripples, Bastards, and Broken Things",The North,Winterfell,54
Summer,"Cripples, Bastards, and Broken Things",The North,Winterfell,54
Old Nan,"Cripples, Bastards, and Broken Things",The North,Winterfell,54
Theon Greyjoy,"Cripples, Bastards, and Broken Things",The North,Winterfell,54
Hodor,"Cripples, Bastards, and Broken Things",The North,Winterfell,54
Tyrion Lannister,"Cripples, Bastards, and Broken Things",The North,Winterfell,103
Robb Stark,"Cripples, Bastards, and Broken Things",The North,Winterfell,103
Maester Luwin,"Cripples, Bastards, and Broken Things",The North,Winterfell,103
Yoren,"Cripples, Bastards, and Broken Things",The North,Winterfell,103
Grey Wind,"Cripples, Bastards, and Broken Things",The North,Winterfell,103
Hodor,"Cripples, Bastards, and Broken Things",The North,Winterfell,103
Bran Stark,"Cripples, Bastards, and Broken Things",The North,Winterfell,103
Theon Greyjoy,"Cripples, Bastards, and Broken Things",The North,Winterfell,103
Theon Greyjoy,"Cripples, Bastards, and Broken Things",The North,Winterfell,87
Tyrion Lannister,"Cripples, Bastards, and Broken Things",The North,Winterfell,87
Jon Snow,"Cripples, Bastards, and Broken Things",The Wall,Castle Black,211
Grenn,"Cripples, Bastards, and Broken Things",The Wall,Castle Black,211
Alliser Thorne,"Cripples, Bastards, and Broken Things",The Wall,Castle Black,211
Samwell Tarly,"Cripples, Bastards, and Broken Things",The Wall,Castle Black,211
Pypar,"Cripples, Bastards, and Broken Things",The Wall,Castle Black,211
Rast,"Cripples, Bastards, and Broken Things",The Wall,Castle Black,211
Khal Drogo,"Cripples, Bastards, and Broken Things",Vaes Dothrak,Vaes Dothrak,70
Jorah Mormont,"Cripples, Bastards, and Broken Things",Vaes Dothrak,Vaes Dothrak,70
Daenerys Targaryen,"Cripples, Bastards, and Broken Things",Vaes Dothrak,Vaes Dothrak,70
Viserys Targaryen,"Cripples, Bastards, and Broken Things",Vaes Dothrak,Vaes Dothrak,70
Jorah Mormont,"Cripples, Bastards, and Broken Things",Vaes Dothrak,Vaes Dothrak,56
Daenerys Targaryen,"Cripples, Bastards, and Broken Things",Vaes Dothrak,Vaes Dothrak,56
Viserys Targaryen,"Cripples, Bastards, and Broken Things",Vaes Dothrak,Vaes Dothrak,293
Doreah,"Cripples, Bastards, and Broken Things",Vaes Dothrak,Vaes Dothrak,293
Sansa Stark,"Cripples, Bastards, and Broken Things",The Crownlands,King's Landing,103
Septa Mordane,"Cripples, Bastards, and Broken Things",The Crownlands,King's Landing,103
Eddard Stark,"Cripples, Bastards, and Broken Things",The Crownlands,King's Landing,144
Petyr Baelish,"Cripples, Bastards, and Broken Things",The Crownlands,King's Landing,144
Renly Baratheon,"Cripples, Bastards, and Broken Things",The Crownlands,King's Landing,144
Grand Maester Pycelle,"Cripples, Bastards, and Broken Things",The Crownlands,King's Landing,144
Janos Slynt,"Cripples, Bastards, and Broken Things",The Crownlands,King's Landing,144
Lord Varys,"Cripples, Bastards, and Broken Things",The Crownlands,King's Landing,144
Grand Maester Pycelle,"Cripples, Bastards, and Broken Things",The Crownlands,King's Landing,145
Eddard Stark,"Cripples, Bastards, and Broken Things",The Crownlands,King's Landing,145
Arya Stark,"Cripples, Bastards, and Broken Things",The Crownlands,King's Landing,108
Eddard Stark,"Cripples, Bastards, and Broken Things",The Crownlands,King's Landing,108
Jon Snow,"Cripples, Bastards, and Broken Things",The Wall,Castle Black,132
Samwell Tarly,"Cripples, Bastards, and Broken Things",The Wall,Castle Black,132
Eddard Stark,"Cripples, Bastards, and Broken Things",The Crownlands,King's Landing,108
Petyr Baelish,"Cripples, Bastards, and Broken Things",The Crownlands,King's Landing,108
Hugh of the Vale,"Cripples, Bastards, and Broken Things",The Crownlands,King's Landing,33
Jory Cassel,"Cripples, Bastards, and Broken Things",The Crownlands,King's Landing,33
Jory Cassel,"Cripples, Bastards, and Broken Things",The Crownlands,King's Landing,21
Eddard Stark,"Cripples, Bastards, and Broken Things",The Crownlands,King's Landing,21
Eddard Stark,"Cripples, Bastards, and Broken Things",The Crownlands,King's Landing,117
Gendry,"Cripples, Bastards, and Broken Things",The Crownlands,King's Landing,117
Tobho Mott,"Cripples, Bastards, and Broken Things",The Crownlands,King's Landing,117
Jory Cassel,"Cripples, Bastards, and Broken Things",The Crownlands,King's Landing,9
Eddard Stark,"Cripples, Bastards, and Broken Things",The Crownlands,King's Landing,9
Jaime Lannister,"Cripples, Bastards, and Broken Things",The Crownlands,King's Landing,117
Jory Cassel,"Cripples, Bastards, and Broken Things",The Crownlands,King's Landing,117
Jon Snow,"Cripples, Bastards, and Broken Things",The Wall,Castle Black,61
Pypar,"Cripples, Bastards, and Broken Things",The Wall,Castle Black,61
Grenn,"Cripples, Bastards, and Broken Things",The Wall,Castle Black,61
Rast,"Cripples, Bastards, and Broken Things",The Wall,Castle Black,61
Rast,"Cripples, Bastards, and Broken Things",The Wall,Castle Black,26
Jon Snow,"Cripples, Bastards, and Broken Things",The Wall,Castle Black,26
Grenn,"Cripples, Bastards, and Broken Things",The Wall,Castle Black,26
Pypar,"Cripples, Bastards, and Broken Things",The Wall,Castle Black,26
Ghost,"Cripples, Bastards, and Broken Things",The Wall,Castle Black,26
Samwell Tarly,"Cripples, Bastards, and Broken Things",The Wall,Castle Black,78
Alliser Thorne,"Cripples, Bastards, and Broken Things",The Wall,Castle Black,78
Rast,"Cripples, Bastards, and Broken Things",The Wall,Castle Black,78
Jon Snow,"Cripples, Bastards, and Broken Things",The Wall,Castle Black,78
Pypar,"Cripples, Bastards, and Broken Things",The Wall,Castle Black,78
Grenn,"Cripples, Bastards, and Broken Things",The Wall,Castle Black,78
Viserys Targaryen,"Cripples, Bastards, and Broken Things",Vaes Dothrak,Vaes Dothrak,81
Doreah,"Cripples, Bastards, and Broken Things",Vaes Dothrak,Vaes Dothrak,81
Daenerys Targaryen,"Cripples, Bastards, and Broken Things",Vaes Dothrak,Vaes Dothrak,81
Irri,"Cripples, Bastards, and Broken Things",Vaes Dothrak,Vaes Dothrak,81
Samwell Tarly,"Cripples, Bastards, and Broken Things",The Wall,Castle Black,359
Jon Snow,"Cripples, Bastards, and Broken Things",The Wall,Castle Black,359
Alliser Thorne,"Cripples, Bastards, and Broken Things",The Wall,Castle Black,359
