name,episode,location,sub_location,time
Maester Luwin,S01E01,The North,Winterfell,181
Khal Drogo,S01E01,Pentos,Pentos,336
Daenerys Targaryen,S01E01,Pentos,Pentos,336
Viserys Targaryen,S01E01,Pentos,Pentos,336
Illyrio Mopatis,S01E01,Pentos,Pentos,336
Qotho,S01E01,Pentos,Pentos,336
Jorah Mormont,S01E01,Pentos,Pentos,336
Drogon,S01E01,Pentos,Pentos,336
Rhaegal,S01E01,Pentos,Pentos,336
Viserion,S01E01,Pentos,Pentos,336
Khal Drogo,S01E01,Pentos,Pentos,103
Daenerys Targaryen,S01E01,Pentos,Pentos,103
Tyrion Lannister,S01E01,The North,Winterfell,78
Sandor Clegane,S01E01,The North,Winterfell,78
Theon Greyjoy,S01E01,The North,Winterfell,78
Eddard Stark,S01E01,The North,Winterfell,78
Benjen Stark,S01E01,The North,Winterfell,78
Robb Stark,S01E01,The North,Winterfell,78
Robert Baratheon,S01E01,The North,Winterfell,78
Bran Stark,S01E01,The North,Winterfell,78
Summer,S01E01,The North,Winterfell,78
Bran Stark,S01E01,The North,Winterfell,111
Summer,S01E01,The North,Winterfell,111
Jaime Lannister,S01E01,The North,Winterfell,111
Cersei Lannister,S01E01,The North,Winterfell,111
Jorah Mormont,S01E02,The Dothraki Sea,The Dothraki Sea,186
Daenerys Targaryen,S01E02,The Dothraki Sea,The Dothraki Sea,186
Khal Drogo,S01E02,The Dothraki Sea,The Dothraki Sea,186
Viserys Targaryen,S01E02,The Dothraki Sea,The Dothraki Sea,186
Doreah,S01E02,The Dothraki Sea,The Dothraki Sea,186
Irri,S01E02,The Dothraki Sea,The Dothraki Sea,186
Jhiqui,S01E02,The Dothraki Sea,The Dothraki Sea,186
Tyrion Lannister,S01E02,The North,Winterfell,97
Joffrey Baratheon,S01E02,The North,Winterfell,97
Sandor Clegane,S01E02,The North,Winterfell,97
Tyrion Lannister,S01E02,The North,Winterfell,133
Jaime Lannister,S01E02,The North,Winterfell,133
Cersei Lannister,S01E02,The North,Winterfell,133
Tommen Baratheon,S01E02,The North,Winterfell,133
Myrcella Baratheon,S01E02,The North,Winterfell,133
Catelyn Stark,S01E02,The North,Winterfell,146
Bran Stark,S01E02,The North,Winterfell,146
Cersei Lannister,S01E02,The North,Winterfell,146
Jon Snow,S01E02,The North,Winterfell,102
Jaime Lannister,S01E02,The North,Winterfell,102
Arya Stark,S01E02,The North,Winterfell,137
Nymeria,S01E02,The North,Winterfell,137
Jon Snow,S01E02,The North,Winterfell,137
Catelyn Stark,S01E02,The North,Winterfell,219
Jon Snow,S01E02,The North,Winterfell,219
Bran Stark,S01E02,The North,Winterfell,219
Eddard Stark,S01E02,The North,Winterfell,219
Jon Snow,S01E02,The North,Winterfell,45
Robb Stark,S01E02,The North,Winterfell,45
Tyrion Lannister,S01E02,The North,Winterfell,104
Benjen Stark,S01E02,The North,Winterfell,104
Eddard Stark,S01E02,The North,Winterfell,104
Jon Snow,S01E02,The North,Winterfell,104
Robert Baratheon,S01E02,The North,The Kingsroad South to King's Landing,199
Eddard Stark,S01E02,The North,The Kingsroad South to King's Landing,199
Khal Drogo,S01E02,The Dothraki Sea,Dothraki Camp,46
Daenerys Targaryen,S01E02,The Dothraki Sea,Dothraki Camp,46
Drogon,S01E02,The Dothraki Sea,Dothraki Camp,46
Rhaegal,S01E02,The Dothraki Sea,Dothraki Camp,46
Viserion,S01E02,The Dothraki Sea,Dothraki Camp,46
Jon Snow,S01E02,The North,North to the Wall,200
Ghost,S01E02,The North,North to the Wall,200
Benjen Stark,S01E02,The North,North to the Wall,200
Tyrion Lannister,S01E02,The North,North to the Wall,200
Rast,S01E02,The North,North to the Wall,200
Catelyn Stark,S01E02,The North,Winterfell,192
Bran Stark,S01E02,The North,Winterfell,192
Maester Luwin,S01E02,The North,Winterfell,192
Robb Stark,S01E02,The North,Winterfell,192
Catspaw Assassin,S01E02,The North,Winterfell,192
Summer,S01E02,The North,Winterfell,192
Daenerys Targaryen,S01E02,The Dothraki Sea,Dothraki Camp,113
Doreah,S01E02,The Dothraki Sea,Dothraki Camp,113
Irri,S01E02,The Dothraki Sea,Dothraki Camp,113
Jhiqui,S01E02,The Dothraki Sea,Dothraki Camp,113
Drogon,S01E02,The Dothraki Sea,Dothraki Camp,113
Rhaegal,S01E02,The Dothraki Sea,Dothraki Camp,113
Viserion,S01E02,The Dothraki Sea,Dothraki Camp,113
Benjen Stark,S01E02,The Wall,The Gift,32
Jon Snow,S01E02,The Wall,The Gift,32
Tyrion Lannister,S01E02,The Wall,The Gift,32
Catelyn Stark,S01E02,The North,Winterfell,79
Catelyn Stark,S01E02,The North,Winterfell,109
Robb Stark,S01E02,The North,Winterfell,109
Maester Luwin,S01E02,The North,Winterfell,109
Rodrik Cassel,S01E02,The North,Winterfell,109
Theon Greyjoy,S01E02,The North,Winterfell,109
Catelyn Stark,S01E02,The North,Winterfell,53
Bran Stark,S01E02,The North,Winterfell,53
Daenerys Targaryen,S01E02,The Dothraki Sea,Dothraki Camp,103
Doreah,S01E02,The Dothraki Sea,Dothraki Camp,103
Drogon,S01E02,The Dothraki Sea,Dothraki Camp,130
Rhaegal,S01E02,The Dothraki Sea,Dothraki Camp,130
Viserion,S01E02,The Dothraki Sea,Dothraki Camp,130
Khal Drogo,S01E02,The Dothraki Sea,Dothraki Camp,130
Daenerys Targaryen,S01E02,The Dothraki Sea,Dothraki Camp,130
Sansa Stark,S01E02,The Riverlands,Crossroads Inn,111
Lady,S01E02,The Riverlands,Crossroads Inn,111
Joffrey Baratheon,S01E02,The Riverlands,Crossroads Inn,111
Sandor Clegane,S01E02,The Riverlands,Crossroads Inn,111
Ilyn Payne,S01E02,The Riverlands,Crossroads Inn,111
Arya Stark,S01E02,The Riverlands,Crossroads Inn,163
Mycah,S01E02,The Riverlands,Crossroads Inn,163
Joffrey Baratheon,S01E02,The Riverlands,Crossroads Inn,163
Sansa Stark,S01E02,The Riverlands,Crossroads Inn,163
Nymeria,S01E02,The Riverlands,Crossroads Inn,163
Arya Stark,S01E02,The Riverlands,Crossroads Inn,51
Nymeria,S01E02,The Riverlands,Crossroads Inn,51
Eddard Stark,S01E02,The Riverlands,Crossroads Inn,38
Jory Cassel,S01E02,The Riverlands,Crossroads Inn,38
Eddard Stark,S01E02,The Riverlands,Crossroads Inn,249
Arya Stark,S01E02,The Riverlands,Crossroads Inn,249
Joffrey Baratheon,S01E02,The Riverlands,Crossroads Inn,249
Cersei Lannister,S01E02,The Riverlands,Crossroads Inn,249
Robert Baratheon,S01E02,The Riverlands,Crossroads Inn,249
Ilyn Payne,S01E02,The Riverlands,Crossroads Inn,249
Sansa Stark,S01E02,The Riverlands,Crossroads Inn,249
Jory Cassel,S01E02,The Riverlands,Crossroads Inn,249
Sandor Clegane,S01E02,The Riverlands,Crossroads Inn,31
Mycah,S01E02,The Riverlands,Crossroads Inn,31
Eddard Stark,S01E02,The Riverlands,Crossroads Inn,31
Bran Stark,S01E02,The North,Winterfell,11
Summer,S01E02,The North,Winterfell,11
Lady,S01E02,The Riverlands,Crossroads Inn,28
Eddard Stark,S01E02,The Riverlands,Crossroads Inn,28
Bran Stark,S01E02,The North,Winterfell,16
Summer,S01E02,The North,Winterfell,16
Eddard Stark,S01E02,The Riverlands,Crossroads Inn,10
Lady,S01E02,The Riverlands,Crossroads Inn,10
Bran Stark,S01E02,The North,Winterfell,9
Summer,S01E02,The North,Winterfell,9
Eddard Stark,S01E03,The Crownlands,King's Landing,55
Sansa Stark,S01E03,The Crownlands,King's Landing,55
Arya Stark,S01E03,The Crownlands,King's Landing,55
Jory Cassel,S01E03,The Crownlands,King's Landing,55
Septa Mordane,S01E03,The Crownlands,King's Landing,55
Royal Steward,S01E03,The Crownlands,King's Landing,55
Eddard Stark,S01E03,The Crownlands,King's Landing,155
Jaime Lannister,S01E03,The Crownlands,King's Landing,155
Eddard Stark,S01E03,The Crownlands,King's Landing,174
Lord Varys,S01E03,The Crownlands,King's Landing,174
Grand Maester Pycelle,S01E03,The Crownlands,King's Landing,174
Renly Baratheon,S01E03,The Crownlands,King's Landing,174
Petyr Baelish,S01E03,The Crownlands,King's Landing,174
Joffrey Baratheon,S01E03,The Crownlands,King's Landing,159
Cersei Lannister,S01E03,The Crownlands,King's Landing,159
Arya Stark,S01E03,The Crownlands,King's Landing,81
Sansa Stark,S01E03,The Crownlands,King's Landing,81
Septa Mordane,S01E03,The Crownlands,King's Landing,81
Eddard Stark,S01E03,The Crownlands,King's Landing,81
Arya Stark,S01E03,The Crownlands,King's Landing,217
Eddard Stark,S01E03,The Crownlands,King's Landing,217
Bran Stark,S01E03,The North,Winterfell,182
Old Nan,S01E03,The North,Winterfell,182
Robb Stark,S01E03,The North,Winterfell,182
Rodrik Cassel,S01E03,The Crownlands,King's Landing,172
Catelyn Stark,S01E03,The Crownlands,King's Landing,172
Petyr Baelish,S01E03,The Crownlands,King's Landing,172
Lord Varys,S01E03,The Crownlands,King's Landing,172
Tyrion Lannister,S01E03,The Wall,Castle Black,96
Jeor Mormont,S01E03,The Wall,Castle Black,96
Alliser Thorne,S01E03,The Wall,Castle Black,96
Jon Snow,S01E03,The Wall,Castle Black,96
Pypar,S01E03,The Wall,Castle Black,96
Grenn,S01E03,The Wall,Castle Black,96
Rast,S01E03,The Wall,Castle Black,96
Eddard Stark,S01E03,The Crownlands,King's Landing,49
Grand Maester Pycelle,S01E03,The Crownlands,King's Landing,49
Petyr Baelish,S01E03,The Crownlands,King's Landing,49
Eddard Stark,S01E03,The Crownlands,King's Landing,35
Petyr Baelish,S01E03,The Crownlands,King's Landing,35
Catelyn Stark,S01E03,The Crownlands,King's Landing,35
Jon Snow,S01E03,The Wall,Castle Black,120
Rast,S01E03,The Wall,Castle Black,120
Grenn,S01E03,The Wall,Castle Black,120
Pypar,S01E03,The Wall,Castle Black,120
Tyrion Lannister,S01E03,The Wall,Castle Black,120
Petyr Baelish,S01E03,The Crownlands,King's Landing,37
Catelyn Stark,S01E03,The Crownlands,King's Landing,37
Eddard Stark,S01E03,The Crownlands,King's Landing,37
Cersei Lannister,S01E03,The Crownlands,King's Landing,69
Jaime Lannister,S01E03,The Crownlands,King's Landing,69
Eddard Stark,S01E03,The Crownlands,King's Landing,99
Catelyn Stark,S01E03,The Crownlands,King's Landing,99
Rodrik Cassel,S01E03,The Crownlands,King's Landing,99
Jory Cassel,S01E03,The Crownlands,King's Landing,99
Robert Baratheon,S01E03,The Crownlands,King's Landing,272
Barristan Selmy,S01E03,The Crownlands,King's Landing,272
Lancel Lannister,S01E03,The Crownlands,King's Landing,272
Jaime Lannister,S01E03,The Crownlands,King's Landing,272
Khal Drogo,S01E03,The Dothraki Sea,The Dothraki Sea,218
Daenerys Targaryen,S01E03,The Dothraki Sea,The Dothraki Sea,218
Jorah Mormont,S01E03,The Dothraki Sea,The Dothraki Sea,218
Viserys Targaryen,S01E03,The Dothraki Sea,The Dothraki Sea,218
Rakharo,S01E03,The Dothraki Sea,The Dothraki Sea,218
Irri,S01E03,The Dothraki Sea,The Dothraki Sea,218
Jon Snow,S01E03,The Wall,Castle Black,215
Benjen Stark,S01E03,The Wall,Castle Black,215
Tyrion Lannister,S01E03,The Wall,Castle Black,234
Yoren,S01E03,The Wall,Castle Black,234
Benjen Stark,S01E03,The Wall,Castle Black,234
Daenerys Targaryen,S01E03,The Dothraki Sea,Dothraki Camp,38
Irri,S01E03,The Dothraki Sea,Dothraki Camp,38
Jorah Mormont,S01E03,The Dothraki Sea,Dothraki Camp,134
Rakharo,S01E03,The Dothraki Sea,Dothraki Camp,134
Irri,S01E03,The Dothraki Sea,Dothraki Camp,134
Tyrion Lannister,S01E03,The Wall,Castle Black,123
Jon Snow,S01E03,The Wall,Castle Black,123
Pypar,S01E03,The Wall,Castle Black,123
Grenn,S01E03,The Wall,Castle Black,123
Rast,S01E03,The Wall,Castle Black,123
Maester Aemon,S01E03,The Wall,Castle Black,123
Jeor Mormont,S01E03,The Wall,Castle Black,123
Drogon,S01E03,The Dothraki Sea,Dothraki Camp,49
Rhaegal,S01E03,The Dothraki Sea,Dothraki Camp,49
Viserion,S01E03,The Dothraki Sea,Dothraki Camp,49
Daenerys Targaryen,S01E03,The Dothraki Sea,Dothraki Camp,49
Khal Drogo,S01E03,The Dothraki Sea,Dothraki Camp,49
Tyrion Lannister,S01E03,The Wall,Castle Black,62
Jon Snow,S01E03,The Wall,Castle Black,62
Arya Stark,S01E03,The Crownlands,King's Landing,212
Syrio Forel,S01E03,The Crownlands,King's Landing,212
Eddard Stark,S01E03,The Crownlands,King's Landing,212
Three-Eyed Raven,S01E04,The North,Winterfell,49
Bran Stark,S01E04,The North,Winterfell,49
Bran Stark,S01E04,The North,Winterfell,54
Summer,S01E04,The North,Winterfell,54
Old Nan,S01E04,The North,Winterfell,54
Theon Greyjoy,S01E04,The North,Winterfell,54
Hodor,S01E04,The North,Winterfell,54
Tyrion Lannister,S01E04,The North,Winterfell,103
Robb Stark,S01E04,The North,Winterfell,103
Maester Luwin,S01E04,The North,Winterfell,103
Yoren,S01E04,The North,Winterfell,103
Grey Wind,S01E04,The North,Winterfell,103
Hodor,S01E04,The North,Winterfell,103
Bran Stark,S01E04,The North,Winterfell,103
Theon Greyjoy,S01E04,The North,Winterfell,103
Theon Greyjoy,S01E04,The North,Winterfell,87
Tyrion Lannister,S01E04,The North,Winterfell,87
Jon Snow,S01E04,The Wall,Castle Black,211
Grenn,S01E04,The Wall,Castle Black,211
Alliser Thorne,S01E04,The Wall,Castle Black,211
Samwell Tarly,S01E04,The Wall,Castle Black,211
Pypar,S01E04,The Wall,Castle Black,211
Rast,S01E04,The Wall,Castle Black,211
Khal Drogo,S01E04,Vaes Dothrak,Vaes Dothrak,70
Jorah Mormont,S01E04,Vaes Dothrak,Vaes Dothrak,70
Daenerys Targaryen,S01E04,Vaes Dothrak,Vaes Dothrak,70
Viserys Targaryen,S01E04,Vaes Dothrak,Vaes Dothrak,70
Jorah Mormont,S01E04,Vaes Dothrak,Vaes Dothrak,56
Daenerys Targaryen,S01E04,Vaes Dothrak,Vaes Dothrak,56
Viserys Targaryen,S01E04,Vaes Dothrak,Vaes Dothrak,293
Doreah,S01E04,Vaes Dothrak,Vaes Dothrak,293
Sansa Stark,S01E04,The Crownlands,King's Landing,103
Septa Mordane,S01E04,The Crownlands,King's Landing,103
Eddard Stark,S01E04,The Crownlands,King's Landing,144
Petyr Baelish,S01E04,The Crownlands,King's Landing,144
Renly Baratheon,S01E04,The Crownlands,King's Landing,144
Grand Maester Pycelle,S01E04,The Crownlands,King's Landing,144
Janos Slynt,S01E04,The Crownlands,King's Landing,144
Lord Varys,S01E04,The Crownlands,King's Landing,144
Grand Maester Pycelle,S01E04,The Crownlands,King's Landing,145
Eddard Stark,S01E04,The Crownlands,King's Landing,145
Arya Stark,S01E04,The Crownlands,King's Landing,108
Eddard Stark,S01E04,The Crownlands,King's Landing,108
Jon Snow,S01E04,The Wall,Castle Black,132
Samwell Tarly,S01E04,The Wall,Castle Black,132
Eddard Stark,S01E04,The Crownlands,King's Landing,108
Petyr Baelish,S01E04,The Crownlands,King's Landing,108
Hugh of the Vale,S01E04,The Crownlands,King's Landing,33
Jory Cassel,S01E04,The Crownlands,King's Landing,33
Jory Cassel,S01E04,The Crownlands,King's Landing,21
Eddard Stark,S01E04,The Crownlands,King's Landing,21
Eddard Stark,S01E04,The Crownlands,King's Landing,117
Gendry,S01E04,The Crownlands,King's Landing,117
Tobho Mott,S01E04,The Crownlands,King's Landing,117
Jory Cassel,S01E04,The Crownlands,King's Landing,9
Eddard Stark,S01E04,The Crownlands,King's Landing,9
Jaime Lannister,S01E04,The Crownlands,King's Landing,117
Jory Cassel,S01E04,The Crownlands,King's Landing,117
Jon Snow,S01E04,The Wall,Castle Black,61
Pypar,S01E04,The Wall,Castle Black,61
Grenn,S01E04,The Wall,Castle Black,61
Rast,S01E04,The Wall,Castle Black,61
Rast,S01E04,The Wall,Castle Black,26
Jon Snow,S01E04,The Wall,Castle Black,26
Grenn,S01E04,The Wall,Castle Black,26
Pypar,S01E04,The Wall,Castle Black,26
Ghost,S01E04,The Wall,Castle Black,26
Samwell Tarly,S01E04,The Wall,Castle Black,78
Alliser Thorne,S01E04,The Wall,Castle Black,78
Rast,S01E04,The Wall,Castle Black,78
Jon Snow,S01E04,The Wall,Castle Black,78
Pypar,S01E04,The Wall,Castle Black,78
Grenn,S01E04,The Wall,Castle Black,78
Viserys Targaryen,S01E04,Vaes Dothrak,Vaes Dothrak,81
Doreah,S01E04,Vaes Dothrak,Vaes Dothrak,81
Daenerys Targaryen,S01E04,Vaes Dothrak,Vaes Dothrak,81
Irri,S01E04,Vaes Dothrak,Vaes Dothrak,81
Samwell Tarly,S01E04,The Wall,Castle Black,359
Jon Snow,S01E04,The Wall,Castle Black,359
Alliser Thorne,S01E04,The Wall,Castle Black,359
Daenerys Targaryen,S01E04,Vaes Dothrak,Vaes Dothrak,66
Jorah Mormont,S01E04,Vaes Dothrak,Vaes Dothrak,66
Robert Baratheon,S01E04,The Crownlands,King's Landing,249
Cersei Lannister,S01E04,The Crownlands,King's Landing,249
Tommen Baratheon,S01E04,The Crownlands,King's Landing,249
Myrcella Baratheon,S01E04,The Crownlands,King's Landing,249
Barristan Selmy,S01E04,The Crownlands,King's Landing,249
Joffrey Baratheon,S01E04,The Crownlands,King's Landing,249
Sansa Stark,S01E04,The Crownlands,King's Landing,249
Petyr Baelish,S01E04,The Crownlands,King's Landing,249
Septa Mordane,S01E04,The Crownlands,King's Landing,249
Arya Stark,S01E04,The Crownlands,King's Landing,249
Sandor Clegane,S01E04,The Crownlands,King's Landing,249
Gregor Clegane,S01E04,The Crownlands,King's Landing,249
Hugh of the Vale,S01E04,The Crownlands,King's Landing,249
Renly Baratheon,S01E04,The Crownlands,King's Landing,249
Jory Cassel,S01E04,The Crownlands,King's Landing,100
Cersei Lannister,S01E04,The Crownlands,King's Landing,100
Eddard Stark,S01E04,The Crownlands,King's Landing,100
Catelyn Stark,S01E04,The Riverlands,Crossroads Inn,184
Rodrik Cassel,S01E04,The Riverlands,Crossroads Inn,184
Marillion,S01E04,The Riverlands,Crossroads Inn,184
Tyrion Lannister,S01E04,The Riverlands,Crossroads Inn,184
Yoren,S01E04,The Riverlands,Crossroads Inn,184
Bronn,S01E04,The Riverlands,Crossroads Inn,184
Eddard Stark,S01E05,The Crownlands,King's Landing,25
Hugh of the Vale,S01E05,The Crownlands,King's Landing,37
Eddard Stark,S01E05,The Crownlands,King's Landing,37
Barristan Selmy,S01E05,The Crownlands,King's Landing,37
Eddard Stark,S01E05,The Crownlands,King's Landing,55
Barristan Selmy,S01E05,The Crownlands,King's Landing,55
Robert Baratheon,S01E05,The Crownlands,King's Landing,153
Lancel Lannister,S01E05,The Crownlands,King's Landing,153
Eddard Stark,S01E05,The Crownlands,King's Landing,153
Gregor Clegane,S01E05,The Crownlands,King's Landing,239
Joffrey Baratheon,S01E05,The Crownlands,King's Landing,239
Eddard Stark,S01E05,The Crownlands,King's Landing,239
Sansa Stark,S01E05,The Crownlands,King's Landing,239
Petyr Baelish,S01E05,The Crownlands,King's Landing,239
Septa Mordane,S01E05,The Crownlands,King's Landing,239
Renly Baratheon,S01E05,The Crownlands,King's Landing,239
Grand Maester Pycelle,S01E05,The Crownlands,King's Landing,239
Loras Tyrell,S01E05,The Crownlands,King's Landing,239
Robert Baratheon,S01E05,The Crownlands,King's Landing,239
Sandor Clegane,S01E05,The Crownlands,King's Landing,239
Barristan Selmy,S01E05,The Crownlands,King's Landing,239
Myrcella Baratheon,S01E05,The Crownlands,King's Landing,239
Tommen Baratheon,S01E05,The Crownlands,King's Landing,239
Marillion,S01E05,The Vale,Eastern Road,198
Tyrion Lannister,S01E05,The Vale,Eastern Road,198
Catelyn Stark,S01E05,The Vale,Eastern Road,198
Rodrik Cassel,S01E05,The Vale,Eastern Road,198
Bronn,S01E05,The Vale,Eastern Road,198
Bran Stark,S01E05,The North,Winterfell,155
Maester Luwin,S01E05,The North,Winterfell,155
Theon Greyjoy,S01E05,The North,Winterfell,155
Ros,S01E05,The North,Winterfell,104
Theon Greyjoy,S01E05,The North,Winterfell,104
Arya Stark,S01E05,The Crownlands,King's Landing,14
Lord Varys,S01E05,The Crownlands,King's Landing,154
Eddard Stark,S01E05,The Crownlands,King's Landing,154
Jory Cassel,S01E05,The Crownlands,King's Landing,154
Arya Stark,S01E05,The Crownlands,King's Landing,90
Lord Varys,S01E05,The Crownlands,King's Landing,90
Illyrio Mopatis,S01E05,The Crownlands,King's Landing,90
Petyr Baelish,S01E05,The Crownlands,King's Landing,213
Lord Varys,S01E05,The Crownlands,King's Landing,213
Renly Baratheon,S01E05,The Crownlands,King's Landing,213
Arya Stark,S01E05,The Crownlands,King's Landing,61
Arya Stark,S01E05,The Crownlands,King's Landing,104
Eddard Stark,S01E05,The Crownlands,King's Landing,104
Jory Cassel,S01E05,The Crownlands,King's Landing,104
Yoren,S01E05,The Crownlands,King's Landing,104
Arya Stark,S01E05,The Crownlands,King's Landing,15
Jory Cassel,S01E05,The Crownlands,King's Landing,15
Eddard Stark,S01E05,The Crownlands,King's Landing,13
Yoren,S01E05,The Crownlands,King's Landing,13
